DK1	DK2
24.34	24.34
33.43	33.71
28.47	31.5
22.27	24.4
42.94	43.69
32.1	41.82
29.95	31.1
30.9	32.6
30.54	37.41
29.57	30.75
26.65	26.78
22.3	23.62
34.17	37.17
30.28	30.76
31	32.03
51.28	51.66
34.39	49.99
29.8	29.8
29.13	29.04
28.72	28.72
28.73	28.73
29.07	29.07
29.46	29.46
36.32	38.26
29.88	32.78
29.97	39.08
30.46	37.62
29.41	30.19
28.7	28.7
32.34	38.52
34.44	36.77
31.43	38.96
31.35	37.28
32.58	37.27
31.5	32.17
31.71	31.71
32.68	37.25
32.55	42.13
33.28	45.68
45.64	46.62
33.64	38.81
32.21	32.27
31.63	31.89
33.33	39.31
33.62	38.95
43.21	43.21
31.55	32.41
31.27	31.15
30.16	30.16
21.42	24.81
13.71	22.33
26.13	26.72
22.6	23.05
23.62	23.63
25.59	25.59
27.38	27.44
20.38	20.38
26.47	26.47
25.38	25.39
30.31	30.79
30.66	30.86
31.04	31.64
28.56	30.03
17.55	22.24
32.62	33.01
41.7	41.71
33.81	33.81
32.25	32.63
29.62	29.62
31.08	31.08
28.97	29.12
34.18	34.2
28.7	30.27
23.08	23.08
27.91	29.8
25.35	25.4
22.74	22.79
16.07	18.92
27.82	27.85
25.67	26.83
29.63	29.68
31.71	31.34
31.92	31.92
27.11	26.82
27.54	27.54
30.45	30.17
34.18	33.67
32.09	32.09
31.32	33.12
30.07	30.3
29.97	29.98
27.81	27.92
35.66	35
30.41	36.89
14	29.12
22.94	27.5
23.39	30.53
28.3	28.3
26.58	26.86
22.84	24.21
22.08	22.39
26.68	26.68
25.89	25.89
28.22	28.22
27.98	27.98
28.84	28.87
28.04	28.09
33.55	33.56
35.98	35.98
29.82	31
18.24	20.14
10.59	10.87
10.46	16.52
26.62	28.27
35.47	35.48
39.91	39.91
36.21	36.75
34.72	34.78
30.95	31.03
28	28.41
5.43	6.42
27.56	27.6
31.01	31.01
29.4	29.4
31.7	31.7
32.62	32.65
28.33	28.34
30.06	30.04
35.92	35.92
38.14	38.14
34.25	34.26
30.42	31.79
30.2	30.32
28.59	28.79
32.76	33.32
30.09	31.38
30.26	30.26
26.85	28.51
32.22	32.22
24.02	24.06
20.56	20.86
35.01	35.01
32.4	33.11
26.44	27.16
24.79	25.01
31.88	31.88
27.23	27.38
20.08	21.59
35.67	35.67
36.98	36.98
25.68	27.27
31.76	31.76
35.89	35.99
30.5	30.5
24.92	26.25
27.19	27.26
20.85	21.63
16.67	18.05
27.45	27.51
33.06	33.06
30.05	30.05
21.34	22.98
21.23	23.39
23.88	24.64
36.02	36.02
32.31	32.31
19.19	24.16
24.69	24.99
28.75	28.75
36.93	36.93
25.68	32.65
37.55	37.55
35.57	35.57
26.9	26.9
22.55	22.73
16.26	20.03
23.04	25.49
37.39	37.39
33.82	34.16
34.42	34.42
27.93	27.93
27.28	27.28
21.62	23.77
22.54	26.15
31.45	31.62
38.14	38.14
39.36	39.44
37.32	37.51
31.26	32.23
32.9	32.9
40.34	40.34
36.46	36.46
